CompanyName,Codes
Ambuja Cements Ltd.,500425
Amco India Ltd.-$,530133
Amd Industries Ltd.,532828
Amforge Industries Ltd.,513117
Amines & Plasticizers Ltd.,506248
Amit International Ltd.,531300
Amit Securities Ltd.,531557
Amit Spinning Industries Ltd.,521076
Amradeep Industries Ltd.,531681
Amrapali Capital And Finance Services Ltd,536737
Amrapali Fincap Ltd,539265
Amrapali Industries Ltd.,526241
Amraworld Agrico Ltd.,531991
Amrit Corp.ltd.-$,507525
Amrutanjan Health Care Ltd.-$,590006
Amsons Apparels Ltd,538861
Amtek Auto Ltd.-$,520077
Amulya Leasing & Finance Ltd.,531761
Anand Credit Ltd.,531678
Anand Projects Ltd,501630
Anant Raj Limited-$,515055
Ananthi Constructions Ltd.,526833
Anar Industries Ltd.,531127
Andhra Bank,532418
Andhra Cements Ltd.,532141
Andhra Petrochemicals Ltd.,500012
Andhra Sugars Ltd.,590062
Andrew Yule & Company Ltd.,526173
Ang Industries Limited,530721
Anik Industries Ltd.,519383
Anil Ltd.,532910
Anil Special Steel Industries Ltd.-$,504629
Anisha Impex Ltd,537785
Anjani Finance Ltd.,531878
Anjani Foods Ltd,511153
Anjani Portland Cement Ltd.-$,518091
Anjani Synthetics Ltd.-$,531223
Anka India Ltd.,531673
Ankit Metal & Power Ltd.,532870
Ankush Finstock Ltd.,531519
Anna Infrastructures Ltd.,530799
Ans Industries Ltd,531406
Ansal Buildwell Ltd.-$,523007
Ansal Housing & Construction Ltd.-$,507828
Ansal Properties & Infrastructure Ltd.,500013
Anshuni Commercials Ltd.,512091
Anshus Clothing Ltd.,534707
Anu's Laboratories Ltd.,532981
Anubhav Infrastructure Ltd,538833
Anuh Pharma Ltd.,506260
Anukaran Commercial Enterprises Ltd.,512355
Anup Malleable Ltd.,506087
Apar Industries Ltd.,532259
Apcotex Industries Ltd.,523694
Apis India Ltd.,506166
Apl Apollo Tubes Ltd.,533758
Aplab Ltd.-$,517096
Aplaya Creations Ltd,511064
Apm Industries Ltd.-$,523537
Apollo Finvest (india) Ltd.,512437
Apollo Hospitals Enterprise Ltd.,508869
Apollo Tyres Ltd.,500877
Apple Finance Ltd.,500014
Appu Marketing & Manufacturing Ltd,538653
Apte Amalgamations Ltd.,507265
Aptech Ltd.,532475
Aptechbbph,535790
Aqua Logistics Ltd,533159
Aqua Pumps Infra Ventures Limited,531364
Arambhan Hospitality Services Ltd,539403
Aramusk Infrastructure Investments Ltd.,532068
Aravali Securities & Finance Ltd.,512344
Arcee Industries Ltd.,520121
Archana Software Ltd.,530565
Archidply Industries Ltd.,532994
Archies Ltd.,532212
Archit Organosys Ltd.,524640
Arco Leasing Ltd.,511038
Arcotech Ltd.,532914
Arcuttipore Tea Co.ltd.,530261
Ardi Investment & Trading Ltd.,504370
Arex Industries Ltd.,526851
Arfin India Ltd,539151
Ari Consolidated Investments Ltd.,509110
Aries Agro Ltd.,532935
Arihant Avenues & Credit Ltd.,531553
Arihant Capital Markets Ltd.,511605
Arihant Foundations & Housing Ltd.-$,531381
Arihant Superstructures Limited,506194
Arihant Tournesol Ltd.,526125
Arihant's Securities Ltd.,531017
Aris International Ltd.,531677
Arman Financial Services Ltd.,531179
Arman Holdings Ltd,538556
Arms Paper Ltd.,532397
Arnav Corporation Ltd.,531467
Arnold Holdings Ltd,537069
Aro Granite Industries Ltd.-$,513729
Aroma Enterprises (india) Ltd.,531560
Aroni Commercials Ltd.-$,512273
Arora Fibres Ltd.,521174
Arrow Greentech Ltd,516064
Arrow Textiles Ltd.,533068
Arshiya Limited,506074
Arss Infrastructure Projects Ltd.,533163
Artech Power Products Ltd.,517481
Artefact Projects Ltd.,531297
Artson Engineering Ltd.,522134
Arvind Infrastructure Ltd,539301
Arvind International Ltd.-$,524760
Arvind Ltd.,500101
Arvind Remedies Ltd.,531823
Aryaman Capital Markets Ltd,538716
Aryaman Financial Services Ltd.,530245
Asahi India Glass Ltd.,515030
Asahi Industries Limited,514482
