CompanyName,Codes
Cistro Telelink Ltd.,531775
Citadel Realty And Developers Ltd.,502445
Citiport Financial Services Ltd.,531235
Citizen Infoline Ltd,538786
Citizen Yarns Ltd.,514366
City Online Services Ltd,538674
City Union Bank Ltd.,532210
Cityman Ltd.,521210
Clariant Chemicals (india) Ltd.,506390
Claris Lifesciences Ltd.,533288
Classic Diamonds (india) Ltd.,523200
Classic Electricals Ltd.,512213
Classic Global Finance & Capital Ltd,538433
Clio Infotech Ltd.,530839
Clutch Auto Ltd.-$,505052
Cmc Ltd.,517326
Cmi Fpe Ltd.-$,500147
Cmi Ltd.,517330
Cni Research Ltd.,512018
Coal India Ltd.,533278
Coastal Corporation Ltd.,501831
Coastal Roadways Ltd.,520131
Cochin Malabar Estates & Industries Ltd.,508571
Cochin Minerals & Rutile Ltd.-$,513353
Coffee Day Enterprises Ltd,539436
Colgate-palmolive (india) Ltd.,500830
Colinz Laboratories Ltd.,531210
Combat Drugs Ltd.,524752
Comfort Commotrade Ltd.,534691
Comfort Fincap Ltd.,535267
Comfort Intech Ltd.-$,531216
Commercial Engineers & Body Builders Co. Ltd.,533272
Commex Technology Limited,532342
Compact Disc India Ltd.,526141
Competent Automobiles Co.ltd.,531041
Compuage Infocom Ltd.,532456
Compucom Software Ltd.-$,532339
Computer Point Ltd.,507833
Conart Engineers Ltd.-$,522231
Concord Drugs Ltd,538965
Concrete Credit Ltd,539266
Confidence Finance And Trading Limited,504340
Confidence Petroleum India Ltd.,526829
Consecutive Investment & Trading Company Ltd,539091
Consolidated Construction Consortium Ltd.,532902
Container Corporation Of India Ltd.,531344
Contil India Ltd.,531067
Continental Controls Ltd.,531460
Continental Petroleums Ltd.,523232
Continental Securities Ltd,538868
Control Print Ltd.-$,522295
Coral India Finance & Housing Ltd.,531556
Coral Laboratories Ltd.,524506
Cords Cable Industries Ltd.,532941
Core Education & Technologies Ltd,512199
Coromandel Agro Products & Oils Ltd.,507543
Coromandel Engineering Company Ltd.,533167
Coromandel International Ltd.,506395
Corporate Courier And Cargo Ltd.,526737
Corporation Bank,532179
Cosboard Industries Ltd.,530859
Cosco (india) Ltd.-$,530545
Cosmo Ferrites Ltd.-$,523100
Cosmo Films Ltd.,508814
Cosyn Ltd,538922
Country Club Hospitality & Holidays Ltd,526550
Country Condo's Ltd.,531624
Coventry Coil-o-matic (haryana) Ltd.,523415
Covidh Technologies Limited,534920
Cox & Kings Limited,533144
Crane Infrastructure Ltd,538770
Cranes Software International Ltd.,512093
Cranex Ltd.,522001
Cravatex Ltd.,509472
Crazy Infotech Ltd.,524388
Creative Eye Ltd.,532392
Creative Merchants Ltd,538504
Credit Analysis And Research Ltd.,534804
Crescent Leasing Ltd,539131
Cressanda Solutions Ltd.,512379
Crest Animation Studios Ltd.,526785
Crest Ventures Limited,511413
Crestchem Ltd.,526269
Crew B.o.s.products Ltd.,532542
Crimson Metal Engineering Company Ltd,526977
Crisil Ltd.,500092
Crompton Greaves Ltd.,500093
Crown Tours Ltd,538521
Csl Finance Ltd,530067
Css Technergy Ltd,590050
Ctil Ltd.,532363
Cubex Tubings Ltd.,526027
Cubical Financial Services Ltd.,511710
Cummins India Ltd.,500480
Cupid Ltd.-$,530843
Cupid Trades & Finance Ltd.,512361
Cura Technologies Ltd.,532332
Cybele Industries Ltd.,531472
Cyber Media (india) Ltd.,532640
Cybermate Infotek Ltd.,532271
Cyberscape Multimedia Ltd.,532364
Cybertech Systems And Software Ltd.,532173
Cyient Limited,532175
D B Corp Ltd,533151
D B Realty Ltd,533160
D&h India Ltd-$,517514
D-link (india) Ltd,533146
D.s.kulkarni Developers Ltd.,523890
Dabur India Ltd.,500096
Dai-ichi Karkaria Ltd.-$,526821
Daikaffil Chemicals India Ltd.,530825
Dalal Street Investments Ltd.,501148
Dalmia Bharat Ltd.,533309
Dalmia Bharat Sugar And Industries Ltd,500097
Damodar Industries Ltd.-$,521220
Danlaw Technologies India Ltd.-$,532329
Datamatics Global Services Ltd.,532528
Datasoft Application Software (india) Ltd.,526443
Daulat Securities Ltd.,530171
Dazzel Confindive Ltd.,531270
Db (international) Stock Brokers Ltd.,530393
Dcb Bank Limited,532772
Dcm Financial Services Ltd.,511611
Dcm Ltd.,502820
Dcm Shriram Industries Ltd.-$,523369
Dcm Shriram Limited,523367
Dcw Ltd.,500117
De Nora India Ltd.,590031
Deccan Bearings Ltd.,505703
Deccan Cements Ltd.-$,502137
Deccan Chronicle Holdings Ltd.,532608
Deccan Gold Mines Ltd.,512068
Deccan Polypacks Ltd.,531989
Decillion Finance Ltd,539190
Deco-mica Ltd.,531227
Decolight Ceramics Ltd.,532858
Decorous Investment & Trading Co Ltd,539405
Dee Kartavya Finance Ltd.,531826
Deep Industries Ltd.,532760
Deepak Fertilisers & Petrochemicals Corporation Ltd.,500645
Deepak Nitrite Ltd.-$,506401
Deepak Spinners Ltd.-$,514030
Delma Infrastructure Limited,512121
Delta Corp Ltd.,532848
Delta Leasing & Finance Ltd.,535486
Delta Magnets Ltd.,504286
Delton Cables Ltd.,504240
Deltron Ltd.,504256
Den Networks Ltd,533137
Dena Bank,532121
Denis Chem Lab Ltd,537536
Desh Rakshak Aushdhalaya Ltd.,531521
Deutsche Mutual Fund - Dws Fixed Term Series 50 - Plan A - Growth Option,533002
Deutsche Mutual Fund - Dws Fixed Term Series 50 - Plan B - Growth Option,533004
Devhari Exports (india) Ltd,539197
Devika Proteins Ltd.,531171
Devine Impex Ltd.,531585
Devinsu Trading Ltd.,512445
Devki Leasing & Finance Ltd.,530765
Dewan Housing Finance Corporation Ltd.,511072
Dfl Infrastructure Finance Ltd.,511393
Dfm Foods Ltd.,519588
Dhabriya Polywood Ltd,538715
Dhampur Sugar Mills Ltd.,500119
Dhampure Speciality Sugars Ltd.,531923
Dhanada Corporation Ltd.,531198
Dhanalaxmi Roto Spinners Ltd.,521216
Dhanlaxmi Bank Limited,532180
Dhanlaxmi Cotex Ltd.,512485
Dhanlaxmi Fabrics Ltd.,521151
Dhanleela Investments & Trading Company Ltd.,503637
Dhanuka Agritech Ltd.,507717
Dhanuka Commercial Ltd,538446
Dhanus Technologies Ltd.,532903
Dhanvantri Jeevan Rekha Ltd.,531043
Dharamsi Morarji Chemical Co.ltd.,506405
Dharani Finance Ltd.,511451
Dharani Sugars & Chemicals Ltd.,507442
Dhenu Buildcon Infra Ltd.,501945
Dhoot Industrial Finance Ltd.,526971
Dhp India Ltd.,531306
Dhruv Estates Ltd.,507886
Dhruva Capital Services Ltd.,531237
Dhunseri Investments Ltd.,533336
Dhunseri Petrochem Limited-$,523736
Dhunseri Tea & Industries Ltd,538902
Dhyana Finstock Ltd,538450
Diamant Infrastructure Limited,508860
Diamines & Chemicals Ltd.-$,500120
Diamond Infosystems Ltd.,530801
Diamond Power Infrastructure Limited-$,522163
Diana Tea Co.ltd.,530959
Dic India Ltd.,500089
Digital Electronics Ltd.,503978
Digjam Ltd.,503796
Dil Ltd.,506414
Diligent Industries Ltd.,531153
Dion Global Solutions Ltd.,526927
Disa India Ltd.,500068
Dish Tv India Ltd.,532839
Dishman Pharmaceuticals & Chemicals Ltd.,532526
Divi's Laboratories Ltd.,532488
Divine Multimedia (india) Ltd.,523810
Divinus Fabrics Ltd,538432
Divya Jyoti Industries Ltd.,526285
Divyashakti Granites Ltd.,526315
Djs Stock & Shares Ltd.,511636
Dlf Ltd.,532868
Dmc Education Ltd,517973
Dolat Investments Ltd.,505526
Dollex Industries Ltd.,531367
Dolphin Medical Services Ltd.,526504
Dolphin Offshore Enterprises (india) Ltd.-$,522261
Donear Industries Ltd.-$,512519
Doon Valley Rice Ltd.,531226
Dot Com Global Ltd.,530391
Dq Entertainment (international) Ltd.,533176
Dr.agarwal's Eye Hospital Ltd.-$,526783
Dr.datsons Labs Limited,533412
Dr.reddy's Laboratories Ltd.,500124
Dredging Corporation Of India Ltd.,523618
Dsj Communications Ltd.,526677
Dsp Blackrock 3 Years Close Ended Equity Fund- Direct Plan - Growth,538810
Dsp Blackrock 3 Years Close Ended Equity Fund-direct Plan - Dividend Payout,538811
Dsp Blackrock 3 Years Close Ended Equity Fund-regular- Dividend Payout,538809
Dsp Blackrock 3 Years Close Ended Equity Fund-regular- Growth,538808
Ducon Infratechnologies Ltd,534674
Dugar Housing Developments Ltd.,511634
Dujodwala Paper Chemical Ltd.-$,524276
Duke Offshore Ltd.,531471
Duncans Industries Ltd.,590063
Dunlop India Ltd.,509130
Duropack Ltd.,526355
Dutron Polymers Ltd.-$,517437
Dwarikesh Sugar Industries Ltd.,532610
Dynacons Systems & Solutions Ltd.,532365
Dynamatic Technologies Ltd.-$,505242
Dynamic Industries Ltd.-$,524818
Dynamic Portfolio Management & Services Ltd.,530779
Dynavision Ltd.,517238
Dynemic Products Ltd.,532707
E-land Apparel Limited,532820
E.com Infotech (i) Ltd.,531533
E.i.d.-parry (india) Ltd.,500125
East Buildtech Ltd.,507917
East Coast Steel Ltd.,520081
Eastern Gases Ltd.,590080
Eastern Silk Industries Ltd.,590022
Eastern Sugar & Industries Ltd.,507528
Eastern Treads Ltd.,531346
Easun Reyrolle Ltd.,532751
Ece Industries Ltd.-$,532491
Eclerx Services Ltd.,532927
Eco Friendly Food Processing Park Ltd.,534839
Eco Recycling Ltd.,530643
Ecoboard Industries Ltd.,523732
Econo Trade (india) Ltd,538708
Ecoplast Ltd.-$,526703
Edelweiss Financial Services Ltd.,532922
Edelweiss Mutual Fund - Edelweiss Exchange Traded Scheme - Nifty ( Nifty Ees ),539142
Edserv Softsystems Ltd.,533055
Educomp Solutions Ltd.,532696
Eduexel Infotainment Limited,526483
Edynamics Solutions Ltd.,535694
Effingo Textile & Trading Limited,512207
Eicher Motors Ltd.,505200
Eicl Ltd.-$,526560
Eih Associated Hotels Ltd.-$,523127
Eih Ltd.,500840
Eimco Elecon (india) Ltd.,523708
Ekam Leasing & Finance Co.ltd.,530581
El Forge Ltd.-$,531144
Elango Industries Ltd.,513452
Elantas Beck India Ltd.-$,500123
Elcid Investments Ltd.,503681
Eldeco Housing & Industries Ltd.,523329
Elder Health Care Ltd.,524830
Elder Pharmaceuticals Ltd.,532322
Elder Projects Ltd.,524788
Elecon Engineering Co.ltd.,505700
Electrosteel Castings Ltd.,500128
Electrosteel Steels Ltd.,533264
Electrotherm (india) Ltd.,526608
Elegant Floriculture & Agrotech (india) Ltd.,526473
Elegant Marbles & Grani Industries Ltd.,526705
Elf Trading & Chemicals Manufacturing Ltd.,504387
Elgi Equipments Ltd.,522074
Elixir Capital Ltd,531278
Ellenbarrie Industrial Gases Ltd.,590087
Elnet Technologies Ltd.-$,517477
Elpro International Ltd.,504000
Ema India Ltd.,522027
Emami Infrastructure Ltd.,533218
Emami Ltd.-$,531162
Emami Paper Mills Ltd.,533208
Emco Ltd.-$,504008
Emed.com Technologies Ltd,524588
Emerald Leasing Finance & Investment Company Ltd,538882
Emgee Cables & Communications Ltd.,530333
Emkay Global Financial Services Ltd.,532737
Emmbi Industries Ltd,533161
Emmessar Biotech & Nutrition Ltd.,524768
Emmsons International Ltd.-$,532038
Empee Distilleries Ltd.,532920
Empee Sugars & Chemicals Ltd.,500132
Empire Industries Ltd.,509525
Emporis Projects Limited,531470
Empower India Ltd.,504351
Enbee Trade & Finance Ltd.,512441
Encash Entertainment Ltd,538684
Encore Software Ltd.-$,531750
Energy Development Company Ltd.,532219
Engineers India Ltd.,532178
Enkei Wheels (india) Ltd.,533477
Ennore Coke Ltd.,512369
Ensa Steel Industries Ltd.,512135
Entegra Ltd.,532287
Enterprise International Ltd.,526574
Entertainment Network (india) Ltd.,532700
Envair Electrodyne Ltd.,500246
Eon Electric Ltd.,532658
Epc Industrie Ltd.,523754
Epic Energy Ltd.-$,530407
Epsom Properties Ltd.,531155
Era Buildsys Limited,531615
Era Infra Engineering Ltd.-$,530323
Eros International Media Ltd.,533261
Erp Soft Systems Ltd.,530909
Esaar (india) Ltd.,531502
Esab India Ltd.,500133
Escorts Finance Ltd.,511716
Escorts Ltd.,500495
Esha Media Research Limited,531259
Eskay K'n'it (india) Ltd.,514118
Esquire Money Guarantees Ltd.,512439
Ess Dee Aluminium Ltd.,532787
Essar Oil Ltd.,500134
Essar Ports Ltd.,500630
Essar Securities Ltd,533149
Essar Shipping Ltd.,533704
Essel Propack Ltd.,500135
Esteem Bio Organic Food Processing Ltd.,534927
Ester Industries Ltd.,500136
Ett Ltd,537707
Eureka Industries Ltd.,521137
Euro Ceramics Ltd.,532823
Euro Leder Fashion Ltd.,526468
Euro Multivision Ltd.,533109
Eurotex Industries & Exports Ltd.,521014
Eveready Industries India Ltd.,531508
Everest Industries Ltd.,508906
Everest Kanto Cylinder Ltd.,532684
Evergreen Textiles Limited,514060
Everlon Synthetics Ltd.,514358
Everonn Education Ltd,532876
Excel Castronics Limited,526735
Excel Crop Care Ltd.,532511
Excel Glasses Ltd.,502223
Excel Industries Ltd.,500650
Excel Realty N Infra Ltd,533090
Exdon Trading Co.ltd.,512017
Exelon Infrastructure Ltd.,530337
Exide Industries Ltd.,500086
Exotic Coal Ltd.,531320
Explicit Finance Ltd.,530571
Expo Gas Containers Ltd.,526614
Extol Commercial Ltd.,512163
Facor Alloys Ltd.,532656
Facor Steels Ltd.,532657
Fact Enterprise Ltd.,511668
Fag Bearings India Ltd.,505790
Fair Deal Filaments Ltd.-$,514474
Falcon Tyres Ltd.-$,509527
Farmax India Limited-$,590094
Farry Industries Ltd.,531252
Fast Track Entertainment Ltd.,532084
Faze Three Ltd.-$,530079
Fcs Software Solutions Ltd.,532666
Fdc Ltd.,531599
Fe (india) Ltd,530863
Fedders Lloyd Corporation Ltd.,500139
Federal Bank Ltd.,500469
Federal-mogul Goetze (india) Ltd.,505744
Fenoplast Ltd.-$,526689
Ferro Alloys Corporation Ltd.,500141
Fertilizers & Chemicals Travancore Ltd.,590024
Fervent Synergies Ltd.,533896
Fgp Ltd.,500142
Fiberweb (india) Ltd.,507910
Fiem Industries Ltd.,532768
Filatex Fashions Ltd.,532022
Filatex India Ltd.-$,526227
Filmcity Media Ltd.,531486
Filtra Consultants And Engineers Ltd,539098
Filtron Engineers Ltd.,531191
Finalysis Credit & Guarantee Co.ltd.,531820
Financial Technologies (india) Ltd.,526881
Finaventure Capital Ltd.,512219
Fine-line Circuits Ltd.,517264
Fineotex Chemical Ltd.,533333
Finkurve Financial Services Ltd,508954
Finolex Cables Ltd.,500144
Finolex Industries Ltd.,500940
Fintech Communications Ltd.,531754
First Custodian Fund (india) Ltd.,511122
First Financial Services Ltd.,511369
First Leasing Co.of India Ltd.,500145
First Winner Industries Ltd.,532996
Firstobject Technologies Ltd.,532379
Firstsource Solutions Ltd.,532809
Fischer Chemic Ltd.,524743
Five X Finance & Investment Ltd,536751
Flawless Diamond (india) Ltd.,523576
Flex Foods Ltd.-$,523672
Flexituff International Ltd.,533638
Flora Textiles Ltd.,530705
Florence Investech Limited-$,532518
Fluidomat Ltd.,522017
Focus Industrial Resources Ltd.,534757
Fomento Resorts & Hotels Ltd.,503831
Foods & Inns Ltd.,507552
Forbes & Company Ltd.-$,502865
Force Motors Ltd.-$,500033
Fortis Healthcare Ltd.,532843
Fortis Malar Hospitals Limited,523696
Fortune Financial Services (india) Ltd.,530023
Fortune International Ltd.,530213
Foseco India Ltd.,500150
Foundry Fuel Products Ltd.,513579
Fourth Generation Information Systems Ltd.,532403
Fraser And Company Ltd,539032
Fresenius Kabi Oncology Ltd.,532545
Freshtrop Fruits Ltd.,530077
Frontier Capital Ltd,508980
Frontier Informatics Limited,531225
Frontier Springs Ltd.,522195
Frontline Business Solutions Ltd.,521167
Frontline Securities Ltd.,533213
Fruition Venture Ltd,538568
Fulford (india) Ltd.-$,506803
Funny Software Ltd,539169
Funworld & Tourism Development Ltd.,531854
Fusion Fittings (i) Ltd.,531760
Future Consumer Enterprise Limited,533400
Future Enterprises Ltd,523574
Future Enterprises Ltd,570002
Future Lifestyle Fashions Ltd,536507
Future Market Networks Ltd.,533296
Futuristic Securities Ltd.,523113
Futuristic Solutions Ltd.,534063
G-tech Info-training Ltd.,532139
G.d.trading & Agencies Ltd.,504346
G.g.dandekar Machine Works Ltd.,505250
G.k.consultants Ltd.,531758
G.m.breweries Ltd.,507488
G.s.auto International Ltd.,513059
Gabriel India Ltd.-$,505714
Gaekwar Mills Ltd.,502850
Gagan Gases Ltd.,524624
Gagan Polycot India Ltd.,531196
Gail (india) Ltd.,532155
Gajanan Securities Services Ltd,538609
Gajra Bevel Gears Ltd.-$,505711
Gala Print City Ltd,539228
Galada Finance Ltd,538881
Galada Power & Telecommunication Ltd.,504697
Galaxy Agrico Exports Ltd.,531911
Galaxy Bearings Ltd.,526073
Galaxy Consolidated Finance Ltd.,511128
Galaxy Entertainment Corporation Ltd.-$,506186
Gallantt Ispat Ltd.,533265
Gallantt Metal Ltd.,532726
Gamma Infoway Exalt Ltd.,517391
Gammon India Ltd.,509550
Gammon Infrastructure Projects Ltd.,532959
Gandhi Special Tubes Ltd.-$,513108
Gandhinagar Hotels Ltd.,530237
Gandhinagar Leasing & Finance Ltd.,511489
Ganesh Benzoplast Ltd.,500153
Ganesh Holdings Ltd.,504397
Ganesh Housing Corporation Ltd.-$,526367
Ganesha Ecosphere Ltd.,514167
Ganga Papers India Ltd.,531813
Gangotri Iron & Steel Company Ltd.,530945
Gangotri Textiles Ltd.,521176
Ganon Trading Finance Co.ltd.,512443
Garden Silk Mills Ltd.,500155
Garg Furnace Ltd.,530615
Garnet Construction Ltd.,526727
Garnet International Ltd.,512493
Garodia Chemicals Ltd.,530161
Garwarbbph,536591
Garware Marine Industries Ltd.,509563
Garware Polyester Ltd.,500655
Garware Synthetics Ltd.,514400
Garware-wall Ropes Ltd.,509557
Gateway Distriparks Ltd.,532622
Gati Ltd.,532345
Gayatri Bioorganics Ltd.,524564
Gayatri Projects Ltd.,532767
Gayatri Sugars Ltd.,532183
Gayatri Tissue & Papers Ltd.,512479
Gcm Capital Advisors Ltd,538319
Gcm Commodity & Derivatives Ltd,535917
Gcm Securities Ltd,535431
Gdl Leasing & Finance Ltd.,530855
Gee Gee Granites Ltd.,515097
Gee Ltd.,504028
Geecee Ventures Limited,532764
Geefcee Finance Ltd.,530389
Gei Industrial Systems Ltd.,530743
Gem Spinners India Ltd.,521133
Gemini Communication Ltd.,532318
Gemmia Oiltech (india) Ltd.,511652
Gemstone Investments Ltd.,531137
Genera Agri Corp Ltd.,590133
Genesys International Corporation Ltd.,506109
Gennex Laboratories Ltd.,531739
Genomic Valley Biotech Ltd,539206
Genus Commu-trade Ltd.,531939
Genus Paper & Boards Ltd,538961
Genus Power Infrastructures Ltd.-$,530343
Geodesic Ltd.,503699
Geojit Bnp Paribas Financial Services Ltd.,532285
Geometric Ltd.,532312
Geshipbbph,536105
Gfl Financials India Limited,531055
Ghcl Ltd.,500171
Gi Engineering Solutions Ltd.,533048
Gic Housing Finance Ltd.,511676
Gilada Finance & Investments Ltd,538788
Gillanders Arbuthnot & Co.ltd.,532716
Gillette India Ltd.,507815
Gini Silk Mills Ltd.-$,531744
Ginni Filaments Ltd.,590025
Girdharilal Sugar & Allied Industries Ltd.,507506
Gita Renewable Energy Ltd,539013
Gitanjali Gems Ltd.,532715
Givo Ltd.,531613
Gkb Ophthalmics Ltd.,533212
Glance Finance Ltd.,531199
Glaxosmithkline Consumer Healthcare Ltd.,500676
Glaxosmithkline Pharmaceuticals Ltd.,500660
Glenmark Pharmaceuticals Ltd.,532296
Glittek Granites Ltd.,513528
Global Capital Markets Ltd.,530263
Global Infratech & Finance Limited,531463
Global Land Masters Corporation Ltd.,531479
Global Offshore Services Ltd.-$,501848
Global Securities Ltd.,530657
Global Vectra Helicorp Ltd.,532773
Globus Constructors & Developers Limited,526025
Globus Corporation Ltd.-$,531904
Globus Spirits Ltd.,533104
Glodyne Technoserve Ltd.,532672
Glory Polyfilms Ltd.,532857
Gloster Ltd,538595
Gloster Ltd.,590085
Gmm Pfaudler Ltd.,505255
Gmr Infrastructure Ltd.,532754
Goa Carbon Ltd.-$,509567
Gocl Corporation Ltd-$,506480
Godavari Drugs Ltd.,530317
Godawari Power & Ispat Ltd.,532734
Godfrey Phillips India Ltd.,500163
Godrej Consumer Products Ltd.,532424
Godrej Industries Ltd.,500164
Godrej Properties Ltd,533150
Goenka Business & Finance Ltd,538787
Goenka Diamond & Jewels Ltd.,533189
Gogia Capital Services Limited,531600
Gokak Textiles Ltd.,532957
Gokaldas Exports Ltd.,532630
Gokul Refoils & Solvent Ltd.,532980
Gol Offshore Ltd.,532786
Gold Coin Health Foods Ltd,538542
Gold Line International Finvest Ltd,538180
Gold Rock Investments Ltd.,501111
Goldcrest Corporation Limited,505576
Golden Carpets Ltd.,531928
Golden Goenka Fincorp Limited,530579
Golden Legand Leasing & Finance Ltd.,509024
Golden Tobacco Ltd.,500151
Goldiam International Ltd.,526729
Goldman Sachs Banking Index Exchange Traded Scheme,590106
Goldman Sachs Mutual Fund- Cpse Etf-growth Option,538057
Goldman Sachs Nifty Exchange Traded Scheme,590103
Goldman Sachs Nifty Junior Exchange Traded Scheme,590104
Goldman Sachs Psu Bank Exchange Traded Scheme,590108
Goldman Sachs S&p Cnx Nifty Shariah Index Exchange Traded Scheme,590109
Goldstone Infratech Ltd.,532439
Goldstone Technologies Ltd.,531439
Golechha Global Finance Ltd.,531360
Golkonda Aluminium Extrusions Ltd-$,513309
Golkunda Diamonds & Jewellery Ltd.,523676
Gontermann-peipers (india) Ltd.,504701
Goodluck Steel Tubes Ltd.,530655
Goodricke Group Ltd.,500166
Goodyear India Ltd.,500168
Gopal Iron & Steels Co.(gujarat) Ltd.,531913
Gopala Polyplast Ltd.,526717
Goplee Infotech Ltd.,531419
Gorani Industries Ltd.,531608
Gothi Plascon (india) Ltd.,531111
Govind Rubber Ltd.-$,509148
Gowra Leasing & Finance Ltd.,530709
Goyal Associates Ltd.,530663
Gp Petroleums Limited,532543
Gpt Infraprojects Ltd.,533761
Gr Cables Ltd.,517564
Gradiente Infotainment Ltd.,590126
Grandeur Products Ltd,539235
Grandma Trading & Agencies Ltd.,504369
Granules India Ltd.-$,532482
Graphite India Ltd.,509488
Grasim Industries Ltd.,500300
Gratex Industries Ltd.,526751
Grauer & Weil (india) Ltd.-$,505710
Graviss Hospitality Ltd.,509546
Gravita India Ltd.,533282
Gravity (india) Ltd.-$,532015
Great Eastern Shipping Co.ltd.,500620
Greaves Cotton Ltd.,501455
Green Field Agri Ventures Ltd,538743
Green Fire Agri Commodities Ltd.,590057
Greencrest Financial Services Limited,531737
Greenlam Industries Ltd,538979
Greenply Industries Ltd.,526797
Greycells Education Limited,508918
Grindwell Norton Ltd.-$,506076
Grm Overseas Ltd.,531449
Gromo Trade & Consultancy Ltd,501314
Grp Ltd.,509152
Gruh Finance Ltd.,511288
Gsb Finance Ltd.,511543
Gsl Nova Petrochemicals Limited,530605
Gsl Securities Ltd.,530469
Gss Infotech Ltd.,532951
Gtl Infrastructure Ltd.,532775
Gtl Ltd.,500160
Gtn Industries Ltd.,500170
Gtn Textiles Ltd.,532744
Gufic Biosciences Ltd.,509079
Gujarat Alkalies & Chemicals Ltd.,530001
Gujarat Ambuja Exports Ltd.,524226
Gujarat Apollo Industries Ltd.,522217
Gujarat Automotive Gears Ltd.,505712
Gujarat Bitumen Ltd,539009
Gujarat Borosil Ltd.,523768
Gujarat Carbon & Industries Ltd.,506457
Gujarat Containers Ltd.,513507
Gujarat Cotex Ltd.,514386
Gujarat Craft Industries Ltd.,526965
Gujarat Credit Corporation Ltd.,511441
Gujarat Fluorochemicals Ltd.,500173
Gujarat Foils Ltd.,531410
Gujarat Gas Co.ltd.,523477
Gujarat Gas Ltd,539336
Gujarat Hotels Ltd.,507960
Gujarat Industries Power Co.ltd.,517300
Gujarat Intrux Ltd.-$,517372
Gujarat Investa Ltd.,531341
Gujarat Lease Financing Ltd.,500174
Gujarat Meditech Ltd.,524754
Gujarat Metallic Coal & Coke Ltd.-$,531881
Gujarat Mineral Development Corporation Ltd.,532181
Gujarat Narmada Flyash Co.ltd.,526598
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,500670
Gujarat Natural Resources Limited,513536
Gujarat Nre Coke Ltd,570003
Gujarat Nre Coke Ltd.,512579
Gujarat Organics Ltd.,501368
Gujarat Petrosynthese Ltd.,506858
Gujarat Pipavav Port Ltd.,533248
Gujarat Poly-avx Electronics Ltd.,517288
Gujarat Raffia Industries Ltd.,523836
Gujarat Sidhee Cement Ltd.,518029
Gujarat State Fertilizers & Chemicals Ltd.,500690
Gujarat State Financial Corporation Ltd.,532160
Gujarat State Petronet Ltd.,532702
Gujarat Terce Laboratories Ltd.,524314
Gujarat Themis Biosyn Ltd.,506879
Gujarat Toolroom Ltd.,513337
Gujchem Distillers India Ltd.,506640
Gulf Oil Lubricants India Ltd,538567
Gulshan Chemfill Ltd.,532425
Gulshan Polyols Ltd.,532457
Gupta Carpets International Ltd.,514360
Gupta Synthetics Ltd.,514116
Gv Films Ltd.,523277
Gvk Power & Infrastructure Ltd.,532708
Gyan Developers & Builders Ltd.,530141
Gyscoal Alloys Ltd.,533275
H.k. Trade International Ltd,539337
H.p.cotton Textile Mills Ltd.,502873
H.s.india Ltd.,532145
Haldyn Glass Ltd-$,515147
Hanjer Fibres Ltd.,514308
Hanung Toys & Textiles Ltd.,532770
Hardcastle & Waud Mfg.co.ltd.,509597
Hari Govind International Ltd.,531971
Haria Apparels Ltd,538081
Haria Exports Ltd.-$,512604
Harita Seating Systems Ltd.-$,590043
Hariyana Ship Breakers Ltd.-$,526931
Harmony Capital Services Ltd.,530055
Harrisons Malayalam Ltd.,500467
Haryana Capfin Ltd.,532855
Haryana Financial Corporation Ltd.,530927
Haryana Leather Chemicals Ltd.,524080
Haryana Texprints (overseas) Limited,514296
Hasti Finance Ltd.,531387
Hathway Bhawani Cabletel & Datacom Ltd.,509073
Hathway Cable & Datacom Ltd,533162
Hatsun Agro Product Ltd.,531531
Havells India Ltd.,517354
Hawa Engineers Ltd,539176
Hawkins Cookers Ltd.-$,508486
Hazoor Multi Projects Ltd.-$,532467
Hb Estate Developers Ltd.,532334
Hb Leasing & Finance Co.ltd.,508956
Hb Portfolio Ltd.,532333
Hb Stockholdings Ltd.,532216
Hbl Power Systems Ltd.-$,517271
Hcl Infosystems Ltd.,500179
Hcl Technologies Ltd.,532281
Hdfc Bank Ltd,500180
Hdfc Focused Equity Fund Plan A - Direct Option - Growth,539139
Hdfc Focused Equity Fund Plan A - Direct Option- Dividend Option,538981
Hdfc Focused Equity Fund Plan A - Direct Option- Growth Option,538980
Hdfc Focused Equity Fund Plan A- Direct Option - Dividend Payout,539140
Hdfc Focused Equity Fund Plan A-regular Option - Dividend Option,538983
Hdfc Focused Equity Fund Plan A-regular Option- Growth Option,538982
Hdfc Focused Equity Fund Plan B - Regular Option- Dividend Payout,539138
Hdfc Focused Equity Fund Plan B - Regular Option- Growth,539134
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2 - Regular Plan - G O,537866
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Dvdd P O,537869
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Growth O,537868
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2-regular Plan- D P O,537867
Healthfore Technologies Ltd.,533525
Healthy Investments Ltd.,503689
Heera Ispat Ltd.,526967
Heg Ltd.,509631
Heidelbergcement India Ltd.,500292
Helios & Matheson Information Technology Ltd.-$,532347
Hella India Lighting Ltd.,520026
Helpage Finlease Ltd,539174
Hem Holdings & Trading Ltd.,505520
